ID,Timestamp,Tweet,Keluhan,Respon,Bukan Keluhan/Respon,Topik Umum, Topik Spesifik,Lokasi,Waktu ,
678867371335938048,"21 Des 2015, 04:19:28 PM","Kalo @PemkotBandung @ridwankamil mau batasi kendaraan, yg feasible dan bisa dilakukan segera dlm wewenang mrk: berantas parkir badan jalan.",,,Ya,Perhubungan,parkir sembarangan,-,-,
678869802069307392,"21 Des 2015, 04:29:08 PM","RT @iqbalfg: Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :?",Ya,,,Perhubungan,motor tanpa spakbor,-,-,
678870678188109824,"21 Des 2015, 04:32:37 PM","Pak, tadi saya habis dari Kebun Binatang, itu kebersihannya masih kurang dan orangutannya juga jomblo pak, mohon solusi pak.. @ridwankamil",Ya,,,Kebudayaan; Pariwisata & Olahraga,tempat hiburan,Kebun Binatang,-,
678872854062960640,"21 Des 2015, 04:41:15 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,pinggir jalan sepanjang Jalan Sersan Bajuri No. 24,-,
678877207356268544,"21 Des 2015, 04:58:33 PM","Bonbin bandung agak kurang terawat, kasian sama hewan hewannya. Pak @ridwankamil coba bonbin bandung di bikin kayak singapore zoo",Ya,,,Kebudayaan; Pariwisata & Olahraga,tempat hiburan,Kebun Binatang,-,
678882018709532672,"21 Des 2015, 05:17:40 PM","Pak @ridwankamil,sy pnya saran angkot 08 dan Antapani yg Coklat dilebur sj. tp arah trayeknya dibagi 2 kyk Cimbeuleuit dl.",,,Ya,Perhubungan,trayek angkutan umum,-,-,
678883723991891968,"21 Des 2015, 05:24:27 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,pinggir jalan sepanjang Jalan Sersan Bajuri No. 24,-,
678883776072581120,"21 Des 2015, 05:24:39 PM","@ridwankamil pak sya lg mau pulang naek diangkot cheum- ledeng, ad ibu2 sma bpak2 ngmongin bpak tp tenang koq pak ngmongin nya yg baik2^^",,,-,Bidang Lainnya,-,-,-,
678887399611478016,"21 Des 2015, 05:39:03 PM",@dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. Hrsnya ada jambtn lyang ditiap perempatan. @ridwankamil,Ya,,,Perhubungan,kemacetan,-,-,
678887703346221056,"21 Des 2015, 05:40:16 PM","@infobdg kalau macet begini, di lihat di depannya, karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya @ridwankamil",Ya,,,Perhubungan,kemacetan,-,-,
678889357961506816,"21 Des 2015, 05:46:50 PM",#SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb @Satpolppbdg,Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),gangguan ketertiban umum,Jalan Eijkman ,-,
678890780845473792,"21 Des 2015, 05:52:29 PM",@BimaAryaS @DiskominfoBdg @dishub_jabar @dishub_kotabdg mendukung rencana badan hukum angkot. jgn sampai kasus metromini tjd nanti di bgr,,,Ya,Perhubungan,bis kota/damri/taksi/ angkot,-,-,
678892005292834816,"21 Des 2015, 05:57:21 PM",RT @se_bdg: #SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb?,Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),gangguan ketertiban umum,Jalan Eijkman ,-,
678893084646572032,"21 Des 2015, 06:01:39 PM","@EL_Atheos @hendronurkholis @ridwankamil he he, perempuan itu sebelumnya dh ditanya sama rk, dah nikah pa masih single",,,Ya,Bidang Lainnya,-,-,-,
678894551797403648,"21 Des 2015, 06:07:29 PM","Punten, saya baru denger beritanya .. apa sudah ditertibkan modus mengambil kunci motor ? @Satpolppbdg @PRFMnews https://t.co/S1d5jf1LaO",,,Ya,K3 (Ketertiban; Kebersihan; Keindahan),gangguan ketertiban umum,-,-,
678894695938822144,"21 Des 2015, 06:08:03 PM",Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6SH,,,Ya,Infrastruktur,trotoar,Jalan Cemara,-,
678895194251522048,"21 Des 2015, 06:10:02 PM",RT @soowooBDG: Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6?,,,Ya,Infrastruktur,trotoar,Jalan Cemara,-,
678898505075658753,"21 Des 2015, 06:23:11 PM","@ridwankamil @Satpolppbdg Mohon diamankan Pa Ogah per4an Pasar Suci Cihaurgeulis,  membuat jalan Suci macet total &amp; kacau.  Nuhun PERHATIANA",Ya,,,Perhubungan,kemacetan,Perempatan Pasar Suci Cihaurgeulis,-,
678898901382914048,"21 Des 2015, 06:24:46 PM","@ridwankamil @dbmpkotabdg Mohon dipasang tiang utk LAMPU MERAH DI PER4AN PASAR SUCI,  CIHAURGEULIS.  SERING TERJADI MACET TOTAL @IWGinting",Ya,,,Perhubungan,rambu lalu lintas,Perempatan Pasar Suci Cihaurgeulis,-,
678899302022840321,"21 Des 2015, 06:26:21 PM","Setuju ini, sepanjang jl riau banyak yg parkir. Malah ada yg di trotoar juga :(( @ridwankamil  https://t.co/aNqS5ONcZi",Ya,,,Perhubungan,parkir sembarangan,Sepanjang Jalan Riau ,-,
678899919403388928,"21 Des 2015, 06:28:48 PM",@pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki @Kec_Kircon @Kel_BabakanSari @ridwankamil,Ya,,,Infrastruktur,lampu penerangan jalan umum,Jalan Kiaracondong,-,
678902874760282112,"21 Des 2015, 06:40:33 PM",Pak wali upami angkot di bandung kumaha nasibna? Di jakarta metromini tos jadi korban @ridwankamil,,,Ya,Perhubungan,bis kota/damri/taksi/ angkot,-,-,
678904645893292032,"21 Des 2015, 06:47:35 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,pinggir jalan sepanjang Jalan Sersan Bajuri No. 24,-,
678908191619452928,"21 Des 2015, 07:01:41 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://?",,Ya,,Infrastruktur,drainase / gorong - gorong,Jalan Veteran - Jalan Sunda,-,
678909639656734720,"21 Des 2015, 07:07:26 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,pinggir jalan sepanjang Jalan Sersan Bajuri No. 24,-,
678910381876633600,"21 Des 2015, 07:10:23 PM","RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,-,-,
678915701378170884,"21 Des 2015, 07:31:31 PM","#WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.co/hQC2JeKtnm",,,Ya,Perhubungan,parkir sembarangan,-,-,
678915797973004290,"21 Des 2015, 07:31:54 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678915921264558080,"21 Des 2015, 07:32:23 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678916869026275329,"21 Des 2015, 07:36:09 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678917006398062592,"21 Des 2015, 07:36:42 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678917176745570305,"21 Des 2015, 07:37:23 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678918485116715009,"21 Des 2015, 07:42:35 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678919399420510208,"21 Des 2015, 07:46:13 PM",@ridwankamil anak kecil ajah jalan2 pke helm masa yang naik motor engga ?!!! :) eta maksad na mah panginteun pakk,,,Ya,Perhubungan,motor tanpa helm,-,-,
678920350730555392,"21 Des 2015, 07:50:00 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678921173388800000,"21 Des 2015, 07:53:16 PM",@ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh,Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),gangguan ketertiban umum,BIP dan trotoar BEC,-,
678921256389902337,"21 Des 2015, 07:53:35 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678922677730435074,"21 Des 2015, 07:59:14 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan pengerukan saluran jl Sukawarna Br https:?",,Ya,,Infrastruktur,drainase / gorong - gorong,Jalan Sukawarna,-,
678922690497916928,"21 Des 2015, 07:59:17 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan perbaikan jl dr eyckman https://t.co/xrdK?",,Ya,,Infrastruktur,jalan rusak,Jalan Eijkman ,-,
678922697498222592,"21 Des 2015, 07:59:19 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg?",,Ya,,Infrastruktur,pemasangan ubin,Jalan Cicendo,-,
678922717169516544,"21 Des 2015, 07:59:24 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Tegallega, pemasangan plat beton saluran jl Moch Toha https://?",,Ya,,Infrastruktur,drainase / gorong - gorong,Jalan Moch. Toha,-,
678922724551487488,"21 Des 2015, 07:59:25 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Ujungberung,  pengerukan saluran jl Golf Selatan I https://t.c?",,Ya,,Infrastruktur,drainase / gorong - gorong,Jalan Golf Selatan I,-,
678922820923994112,"21 Des 2015, 07:59:48 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Gedebage,  pengerukan saluran jl Sukarno Hatta https://t.co/bN?",,Ya,,Infrastruktur,drainase / gorong - gorong,Jalan Soekarno Hatta,-,
678922827358076928,"21 Des 2015, 07:59:50 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://?",,Ya,,Infrastruktur,drainase / gorong - gorong,Jalan Veteran - Jalan Sunda,-,
678922880009134080,"21 Des 2015, 08:00:03 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying, lanjutan prbaikan kirmir sal jl Gudang Utara https?",,Ya,,Infrastruktur,jalan rusak,Jalan Gudang Utara,-,
678922887135236096,"21 Des 2015, 08:00:04 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara,  pengangkutan sendimen jl Sukawarna Baru https://t?",,Ya,,Infrastruktur,pengangkutan sedimen,Jalan Sukawarna Baru,-,
678924406924574720,"21 Des 2015, 08:06:07 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg?",,Ya,,Infrastruktur,pemasangan ubin,Jalan Cicendo,-,
678926614202179584,"21 Des 2015, 08:14:53 PM","RT @PRFMnews: cc @distarcipBDG  RT  @saudarasanusi Penyangga gedung ini mengkhawatirkan deh pak @ridwankamil,takut roboh https://t.co/ILPnY?",Ya,,,Infrastruktur,penyangga gedung,-,-,
678930522341376000,"21 Des 2015, 08:30:25 PM","@dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati, hawatir rawan. Hatur nuhun https://t.co/5CkCjc9CUW",Ya,,,Infrastruktur,lampu penerangan jalan umum,sepanjang Jalan Bima Kel. Arjuna Kec. Cicendo,-,
678930650334945280,"21 Des 2015, 08:30:55 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.?",,,Ya,Perhubungan,parkir sembarangan,-,-,
678937681909317632,"21 Des 2015, 08:58:52 PM","Kirmir kali cicadas rw13 kel bbksurabaya longsor, mhn bantuan @dbmpkotabdg cc @ridwankamil @OdedMD @yossiirianto https://t.co/Q1ilQH9uLP",Ya,,,Infrastruktur,kali / sungai,Cicadas RW. 13 Kel. Bbk Surabaya,-,
678942969328631808,"21 Des 2015, 09:19:52 PM",@dbmpkotabdg  Hatur nuhun URC Gedebage atas pengerukan Saluran Merkuri Kel. Manjahlega https://t.co/FBwSrKhJwu,,Ya,,Infrastruktur,drainase / gorong - gorong,Kel. Manjahlega,-,
678944849580568577,"21 Des 2015, 09:27:20 PM",Tiap hari lewat bolak balik pa @ridwankamil uang habis buat bayar jalan aja ini mah ???????? ga ada cara lain ? https://t.co/fydVITBqVv,Ya,,,Perhubungan,biaya jalan,-,-,
678946348670947328,"21 Des 2015, 09:33:18 PM","ayo pesan sendal bulunya..all size IDR 30K, hangat &amp; nyaman di kaki @ridwankamil @infobdg @PRFMnews @MemeComicIndo https://t.co/iaX1cMqxdG",,,Ya,Bidang Lainnya,-,-,-,
678948847930871809,"21 Des 2015, 09:43:14 PM",Tikungan dari  jl wastu kencana belok ke arah gd pakuan. @infobandung @dbmpkotabdg @galamedianews @PRFMnews https://t.co/48Bm45CoTQ,,,Ya,Bidang Lainnya,-,-,-,
678949884930600965,"21 Des 2015, 09:47:21 PM",Bpk @ridwankamil dompet sy dcopet d angkot cheum-ldng pk ??. spt.a copet.a bkrjasama sm spr agkt.a pak. Skg sy jd wanita tnp identitas pak??,Ya,,,Kriminalitas,pencurian / perampokan,Angkot Caheum-Ledeng,-,
678950041369751552,"21 Des 2015, 09:47:58 PM","@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk1d",,,Ya,Infrastruktur,lampu penerangan jalan umum,Jalan Ir. H. Djuanda,-,
678950251139502080,"21 Des 2015, 09:48:48 PM","@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW",,Ya,,Infrastruktur,lampu penerangan jalan umum ,Jalan Rumah Sakit,-,
678951996888449024,"21 Des 2015, 09:55:45 PM","jln jend sudirman dkt suryani ad cafe, mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir @dbmpkotabdg @dishub_kotabdg @ridwankamil",Ya,,,Perhubungan,parkir sembarangan,Jalan Jend. Sudirman dekat Suryani,-,
678955158529699840,"21 Des 2015, 10:08:18 PM",CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan https://t.co/awjVJYCAGZ,,,Ya,Bidang Lainnya,-,tikungan dari Jalan Wastukencana,-,
678956061345337344,"21 Des 2015, 10:11:54 PM",RT @Rescue_Damkar: CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan htt?,,,Ya,Bidang Lainnya,-,tikungan dari Jalan Wastukencana,-,
678957716006539264,"21 Des 2015, 10:18:28 PM","@pdamtirtawening : Dari nmr pelanggan 00A06600370, Margahayu Raya J-II-37, mohon info sudah beberapa hari air tidak keluar.",Ya,,,Pengelolaan Air & Sumber Daya Alam,air tidak mengalir,Margahayu Raya J-II-37,beberapa hari ,
678959591086940160,"21 Des 2015, 10:25:55 PM",Lapor pak @ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/UTfZOk3ThE,Ya,,,Kriminalitas,geng motor,Jalan Lodaya (lapangan softball),20 Desember,
678964610792222720,"21 Des 2015, 10:45:52 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:?",,Ya,,Infrastruktur,gundukan pasir,Jalan dr. Otten,-,
678965130839769089,"21 Des 2015, 10:47:56 PM","RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t?",Ya,,,Infrastruktur,jalan rusak,jalan menuju TPA,-,
678965653966094336,"21 Des 2015, 10:50:01 PM","RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t?",Ya,,,Infrastruktur,jalan rusak,jalan menuju TPA,-,
678965690083094528,"21 Des 2015, 10:50:09 PM","RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht?",,,Ya,Pengelolaan Sampah,sampah menumpuk,jalan ke arah TPA,-,
678969811716575232,"21 Des 2015, 11:06:32 PM","Kang @ridwankamil , hatur nuhun ya jalur lalin Cipaganti dicat. Skr jd enak klo dinas malem (jalannya lbh jelas krn mencrang jalur lalinnya)",,,Ya,Infrastruktur,lampu penerangan jalan umum,lalin Cipaganti ,-,
678969988774957056,"21 Des 2015, 11:07:14 PM","RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht?",,,Ya,Pengelolaan Sampah,sampah menumpuk,jalan ke arah TPA,-,
678970029426139136,"21 Des 2015, 11:07:24 PM","RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t?",,,Ya,Infrastruktur,jalan rusak,jalan menuju TPA,-,
678971973926436865,"21 Des 2015, 11:15:07 PM","RT @MojangPolppBDG: (15/12) Giat penjangkauan PMKS Jl. Peta, perempatan Kopo. Oleh Tranmas Rukendi &amp; URC. Pukul 10.30. @Satpolppbdg https:/?",,Ya,,K3 (Ketertiban; Kebersihan; Keindahan),anak jalanan dan gelandangan pengemis,Jalan Peta perempatan Kopo,10.30,
678980117624819712,"21 Des 2015, 11:47:29 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,pinggir jalan sepanjang Jalan Sersan Bajuri No. 24,-,
679071295376527360,"22 Des 2015, 05:49:48 AM",@PRFMnews @infobandung  @pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu,Ya,,,Pengelolaan Air & Sumber Daya Alam,air tidak mengalir,daerah Tubagus Ismail Depan RT. 05 RW. 08,dua minggu ,
679072748530831360,"22 Des 2015, 05:55:34 AM","RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/?",Ya,,,K3 (Ketertiban; Kebersihan; Keindahan),buang sampah sembarangan,-,-,
679076352188788736,"22 Des 2015, 06:09:53 AM",Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @OdedMD @marcommpr,Ya,,,Pengelolaan Air & Sumber Daya Alam,air tidak mengalir,RW. 11 Kel. Cicaheum ,-,
679076591670988800,"22 Des 2015, 06:10:50 AM","@pdkebersihanbdg di Pasar Suci, baru masuk udah disambut bak sampah gede. Masa hal kaya gini ga kepikiran ngeganggu atau ngga?? @ridwankamil",Ya,,,Pengelolaan Sampah,sampah menumpuk,Pasar Suci ,-,
679076768003690496,"22 Des 2015, 06:11:32 AM",RT @ahmad_chm: Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @Ode?,Ya,,,Pengelolaan Air & Sumber Daya Alam,air tidak mengalir,RW. 11 Kel. Cicaheum ,-,
679086566472478720,"22 Des 2015, 06:50:28 AM",@ridwankamil pak program pembangunan untuk Bandung Timur ditahun 2016 ada apa saja ?  :),,,Ya,Bukan Keluhan,-,-,-,
679097070079180800,"22 Des 2015, 07:32:13 AM",tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes,,,Ya,Bukan Keluhan,-,-,-,
679102640265891840,"22 Des 2015, 07:54:21 AM",@pdamtirtawening nuhun tos ngocor meski cuma malam yg punya air,,,Ya,Bukan Keluhan,-,-,-,
679104351667752960,"22 Des 2015, 08:01:09 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast tegallega https://t.co/LAbD1pe?",,Ya,,Infrastruktur,lampu penerangan jalan umum,Tegallega,-,
679104366062661632,"22 Des 2015, 08:01:12 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Geusan Ulun https://t.co/lO3ww6TNd8",,Ya,,Infrastruktur,lampu penerangan jalan umum,Jalan Geusan Ulun ,-,
679104380054859777,"22 Des 2015, 08:01:16 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk?",,Ya,,Infrastruktur,lampu penerangan jalan umum,Jalan Ir. H. Djuanda,-,
679104458878353408,"22 Des 2015, 08:01:34 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Jamika https://t.co/jMPcrpU8l6",,Ya,,Infrastruktur,lampu penerangan jalan umum ,Jalan Jamika,-,
